UniqueCount	AmbigCount
0	16
1	67
0	67
0	0
0	0
0	8
0	8
9	0
0	0
0	0
0	0
1	0
32	0
0	11
0	10
1	9
0	9
0	3
0	3
5	0
0	6
0	6
0	10
2	10
0	26
0	26
0	19
0	11
0	0
0	0
7	0
8	0
0	0
4	0
0	0
9	0
1	0
0	6
0	7
0	8
0	0
0	0
1	3
3	4
0	3
1	3
2	0
0	0
0	0
6	0
0	10
0	7
0	6
0	8
0	3
0	3
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	11
0	8
0	5
0	0
0	0
0	10
0	8
0	8
0	6
0	6
0	9
0	0
0	0
0	11
0	9
0	11
0	9
0	9
0	1
0	1
2	1
0	5
0	5
0	5
0	5
0	5
0	2
0	2
0	1
0	1
0	17
0	38
1	21
0	23
0	23
0	2
0	2
0	2
0	2
0	2
0	2
5	0
0	7
0	7
0	4
0	4
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	1
0	1
3	0
0	0
0	0
1	0
0	10
0	8
0	8
0	8
0	8
0	6
0	6
0	8
0	7
0	7
1	0
0	0
5	0
16	45
0	45
0	0
0	0
8	0
4	0
0	0
0	0
0	0
0	0
0	3
0	3
0	6
0	6
0	5
0	0
9	40
0	34
0	28
1	6
0	6
1	0
5	0
3	0
0	0
0	5
0	4
0	5
0	3
0	0
0	0
0	0
1	0
0	0
0	3
0	3
0	2
0	27
0	28
0	27
0	27
0	23
2	5
0	5
0	0
0	0
0	0
5	0
9	2
1	3
0	3
0	0
12	0
0	1
0	1
0	2
0	1
0	1
0	0
0	1
48	0
1	3
0	3
0	0
0	0
0	3
0	3
0	1
0	1
0	4
0	1
0	5
0	5
0	0
0	6
0	9
0	7
0	0
0	10
2	11
0	7
0	0
0	0
0	0
0	0
0	0
7	25
0	25
56	0
0	0
0	0
0	0
0	0
15	51
0	51
0	1
0	1
0	8
1	8
0	0
0	0
0	1
0	1
0	0
31	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
9	36
0	36
0	21
0	31
0	2
0	2
0	2
0	2
0	5
0	5
0	5
0	5
0	0
0	8
0	8
0	8
2	1
0	1
0	1
0	1
0	18
0	20
2	20
20	0
1	0
0	0
0	0
0	0
1	0
0	10
0	13
0	10
0	0
2	180
0	148
0	158
0	3
0	2
0	3
0	3
0	3
0	3
0	2
0	2
0	4
0	2
0	6
0	6
0	2
0	4
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	13
0	13
0	0
28	0
0	25
0	21
0	22
0	21
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	19
0	11
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	5
0	1
0	0
0	9
0	10
0	10
0	0
25	2
3	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
21	0
7	0
3	0
0	0
0	0
0	8
0	8
0	7
0	1
0	1
0	1
0	0
0	0
0	7
1	9
0	8
0	10
0	9
1	3
0	8
0	8
0	8
1	8
0	8
4	0
2	0
2	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	3
0	3
0	1
0	3
0	1
0	1
0	3
0	3
38	0
11	16
0	16
0	5
0	5
0	0
2	8
0	8
0	0
0	1
0	1
0	0
0	1
0	0
0	0
3	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	4
0	6
0	6
0	6
0	6
0	6
0	6
0	2
21	0
0	1
0	1
0	22
0	23
0	19
0	21
0	0
0	0
0	1
1	1
0	1
0	1
0	1
6	0
2	0
0	0
0	0
0	0
0	0
0	1
0	1
1	0
0	1
0	0
0	2
0	2
0	7
0	7
0	7
0	7
0	7
0	0
0	1
0	1
0	8
0	8
0	9
0	8
0	9
0	8
0	1
0	1
0	1
0	1
1	0
0	0
0	18
2	18
0	0
0	0
1	0
0	15
0	15
0	15
0	0
4	0
6	0
0	0
0	0
0	11
0	9
0	11
0	10
0	10
0	0
0	0
8	0
2	0
0	8
0	8
0	0
1	20
0	20
0	0
0	21
0	23
0	21
0	21
0	21
0	10
0	1
0	1
0	0
6	0
0	3
0	3
0	3
0	3
0	3
1	0
0	0
0	0
0	0
0	2
0	2
0	2
0	1
2	0
6	6
0	1
0	1
1	4
0	4
2	4
0	3
0	1
0	2
0	2
0	1
1	1
0	1
0	7
0	6
0	6
0	6
0	0
0	0
8	0
0	0
0	20
0	15
0	17
0	12
0	16
0	16
1	2
0	2
0	5
0	8
0	8
0	5
0	5
0	5
0	7
0	8
0	9
0	0
0	3
0	0
0	5
0	5
0	5
0	4
0	4
0	15
0	13
0	8
11	25
0	25
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	1
0	1
0	0
0	0
0	5
0	5
0	5
2	49
0	49
0	1
0	1
0	1
0	8
0	8
0	8
1	1
0	0
1	1
0	1
3	0
0	98
0	71
0	77
0	75
0	81
0	80
0	0
17	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
0	0
0	0
0	0
0	0
19	30
0	30
2	0
0	1
0	0
0	0
19	0
0	0
0	0
0	0
13	0
0	1
0	1
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
3	13
0	13
0	1
0	1
0	1
0	1
0	0
5	0
0	53
1	53
2	0
0	0
5	20
0	20
0	11
2	0
0	9
0	8
0	8
0	8
0	7
0	7
0	8
0	7
0	1
0	5
0	5
0	4
0	4
0	0
0	0
2	17
1	14
10	12
0	1
0	2
0	2
0	2
0	1
0	0
24	94
1	94
1	67
21	0
0	0
0	0
1	7
0	7
3	3
0	3
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	1
1	10
0	10
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	8
0	28
0	28
1	3
2	3
0	3
3	17
0	17
0	16
0	0
0	3
0	0
0	0
0	0
0	0
7	0
1	10
0	10
0	13
13	13
72	0
0	0
1	0
4	0
2	1
0	0
6	0
0	0
0	3
0	4
0	4
0	6
0	6
0	0
1	3
0	3
0	3
0	3
0	0
5	0
0	10
0	10
0	10
0	2
0	2
1	2
0	7
0	7
0	3
0	3
177	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	1
0	1
0	2
0	1
0	1
0	2
0	0
1	9
0	7
0	6
0	5
6	31
0	31
0	20
0	11
0	11
0	11
0	11
0	8
0	8
9	0
1	0
0	0
5	0
0	0
0	0
0	0
2	0
0	0
0	0
0	4
0	4
0	7
0	7
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	7
0	7
0	5
4	7
0	7
22	0
0	17
0	17
12	17
0	9
0	9
0	2
0	2
0	2
0	0
1	0
0	1
0	1
0	1
0	1
0	1
1	2
0	0
0	4
0	4
0	14
0	15
0	13
0	13
0	13
0	12
0	10
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	30
0	38
0	33
0	27
2	0
5	0
4	0
0	4
0	4
0	4
0	0
0	0
0	3
0	3
0	0
0	0
0	0
4	0
0	4
0	4
0	4
5	0
0	4
0	4
0	0
0	5
0	4
0	4
0	7
0	9
0	9
0	4
0	0
0	0
0	6
0	4
0	7
0	7
0	4
0	5
0	6
0	5
0	6
0	5
0	5
13	13
0	13
1	0
0	0
0	0
0	0
46	0
5	0
0	4
0	4
0	0
0	0
39	0
4	11
0	11
9	0
0	0
0	2
1	2
0	2
0	4
0	4
106	37
0	37
0	0
10	0
18	2
0	0
0	0
0	9
0	7
0	8
0	7
0	9
0	0
0	0
0	2
0	2
0	1
0	2
0	3
0	1
0	4
0	4
0	4
0	4
0	1
14	0
0	0
12	0
0	4
0	3
0	2
0	3
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	16
1	16
0	0
1	0
12	0
9	0
6	52
1	52
0	50
3	0
0	5
0	5
1	5
0	5
0	2
0	2
2	4
0	2
0	6
0	3
0	2
0	7
0	7
1	0
0	2
0	2
0	0
8	0
0	0
0	0
0	55
0	43
0	46
0	4
0	4
0	4
0	4
0	3
0	3
0	2
1	2
0	2
3	2
0	5
0	6
0	6
0	5
0	4
0	5
11	0
0	0
0	0
0	0
0	1
1	0
0	0
0	1
0	0
0	0
0	0
0	4
2	4
0	0
0	0
0	0
0	0
0	27
0	24
0	24
1	24
0	13
0	22
0	22
0	8
0	8
0	8
0	2
0	0
0	26
0	26
0	20
0	28
0	24
1	1
0	0
0	111
1	71
0	4
0	0
0	4
0	4
0	5
0	5
0	3
0	0
0	0
0	0
0	0
0	1
0	1
4	0
0	17
0	17
0	14
5	2
0	2
0	0
0	0
0	0
0	0
0	81
0	96
1	82
0	78
0	77
2	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
5	16
0	16
5	0
0	0
0	0
0	0
1	0
0	0
2	0
0	3
0	3
3	2
6	0
0	4
0	3
0	4
0	4
0	12
0	12
0	9
0	12
0	3
0	3
2	3
0	3
3	67
0	63
0	63
0	63
0	61
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	4
1	4
0	0
2	10
2	10
0	12
2	13
0	13
0	11
0	13
17	0
0	14
0	4
0	4
1	10
0	9
0	9
0	4
0	3
0	3
2	23
0	23
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	6
0	5
0	5
0	5
0	3
0	2
0	2
0	0
0	2
0	2
0	0
2	7
2	7
2	5
7	13
0	13
18	0
0	0
0	0
0	4
0	4
0	4
1	4
0	0
3	0
0	0
0	0
0	0
0	5
0	4
0	4
58	13
6	0
0	2
0	1
0	2
0	2
0	4
0	4
4	0
2	0
3	11
0	11
0	0
0	0
0	3
1	3
0	3
1	2
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
4	0
2	0
0	11
0	11
0	7
1	11
11	90
0	90
10	90
0	5
0	5
0	5
0	5
0	0
2	0
2	4
0	4
1	0
0	0
2	0
0	2
0	2
0	1
2	0
2	0
0	0
0	0
0	0
1	0
29	42
0	42
0	18
15	0
0	0
0	6
0	6
0	7
0	5
0	0
0	0
0	0
0	0
0	0
0	14
0	14
0	20
0	20
1	20
0	1
0	1
0	1
0	0
10	0
0	0
0	0
0	0
49	0
0	0
137	193
0	193
44	543
214	545
0	0
0	6
1	6
0	0
1	0
7	0
2	0
0	21
7	21
0	0
1	8
0	8
24	0
2	0
3	0
1	0
0	0
0	0
0	0
0	0
0	0
5	0
10	0
0	0
0	0
0	4
0	1
0	0
0	0
0	0
0	1
2	9
0	9
0	6
0	6
1	26
0	0
0	0
0	0
1	1
0	1
1	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
2	4
0	4
0	0
3	0
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
5	0
27	1
0	0
0	17
0	17
0	13
1	16
21	0
0	0
1	5
1	5
0	0
0	0
0	0
0	5
0	2
0	5
0	0
0	0
0	0
0	0
0	0
2	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	8
0	8
0	8
0	8
0	6
0	0
0	1
0	1
0	0
0	0
27	6
0	6
0	1
0	1
0	1
0	32
0	28
0	28
1	32
1	5
0	5
0	5
0	3
0	2
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	19
3	19
0	0
0	13
0	13
0	0
1	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
2	10
0	10
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	9
0	7
0	2
0	0
0	5
0	5
0	1
4	0
134	1
3	2
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
2	0
0	0
0	0
0	0
15	0
0	1
0	0
1	0
0	0
0	7
0	7
0	0
0	0
1	0
0	0
0	2
0	2
0	1
0	2
0	1
1	0
0	0
10	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	14
0	14
0	13
0	12
0	12
1	0
0	0
2	0
0	0
2	1
0	3
0	3
0	3
2	1
0	0
0	3
12	3
6	1
0	3
0	5
0	5
1	0
0	39
0	37
0	39
0	37
0	39
75	0
0	4
0	4
0	2
3	0
4	0
0	0
0	0
1	8
0	8
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	27
2	48
0	27
7	0
0	1
0	1
0	1
1	1
1	6
0	6
0	6
0	6
0	5
1	0
0	0
0	0
1	0
0	6
0	6
0	6
0	1
1	0
0	0
0	6
0	6
0	6
0	0
0	0
1	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	1
0	1
0	0
3	0
0	0
3	0
0	0
0	5
0	0
0	5
0	0
0	0
0	0
0	12
0	12
0	8
0	8
0	6
0	10
0	9
0	0
0	0
2	0
0	0
4	0
0	0
0	0
0	0
3	0
0	5
0	5
0	0
0	0
0	0
4	0
0	0
0	18
12	18
0	2
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
5	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
1	0
7	16
0	16
0	14
0	15
0	15
6	15
0	16
0	15
0	6
0	10
1	10
0	11
0	16
0	16
74	0
0	6
1	6
2	6
2	0
0	0
0	0
13	0
0	0
0	0
0	0
2	27
0	27
0	288
0	302
4	283
0	241
0	227
0	222
0	227
0	226
0	269
2	13
0	13
0	13
0	13
1	13
0	11
12	20
0	20
1	3
0	3
0	0
0	0
0	0
0	3
0	3
0	2
3	12
0	12
0	16
2	16
0	16
0	4
0	4
1	0
25	3
0	0
0	0
0	0
0	21
2	21
0	0
0	0
0	2
0	2
0	2
1	3
0	3
0	3
0	0
5	12
1	12
0	0
0	0
0	24
0	22
0	18
0	21
0	19
0	0
0	14
0	13
0	9
0	14
0	12
4	0
15	0
4	0
0	0
0	0
0	0
0	0
0	0
2	0
0	4
0	3
0	4
0	4
0	20
0	20
0	15
0	15
2	36
0	31
0	33
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	2
0	2
0	2
0	1
0	1
0	1
0	0
2	5
0	5
0	5
0	1
0	1
0	5
0	4
0	4
0	0
0	0
65	0
0	0
0	0
0	0
1	0
2	0
1	0
0	4
0	4
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
1	0
4	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	0
0	3
0	3
0	4
0	4
0	4
0	4
0	0
0	4
0	4
0	0
0	0
0	3
0	1
0	2
0	1
0	5
0	7
0	4
0	6
0	0
0	0
0	5
2	6
0	1
0	0
0	0
0	0
0	0
0	0
25	125
0	105
4	125
2	105
0	0
0	0
0	0
0	0
0	0
0	0
0	5
2	5
0	1
0	1
0	1
12	0
0	11
0	11
0	11
0	11
0	11
0	0
0	0
0	0
57	0
9	0
3	8
0	8
0	8
8	0
0	0
0	0
0	0
2	8
0	8
2	11
2	11
0	8
0	0
7	3
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	27
0	21
0	19
1	22
0	0
0	0
0	0
0	4
0	5
0	4
0	3
0	4
0	2
0	5
0	9
0	7
0	5
0	8
0	6
0	33
0	24
0	25
0	25
0	0
12	0
0	0
0	0
0	0
0	6
0	4
2	6
16	0
1	7
0	7
0	7
6	0
0	0
15	0
73	2
0	0
0	0
13	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
14	0
0	0
0	1
0	1
0	0
0	1
0	4
0	4
0	9
0	9
5	17
2	17
0	3
0	3
0	1
0	3
0	12
0	12
0	10
0	10
0	8
0	0
0	18
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
1	5
0	4
0	0
0	0
0	3
0	3
0	3
0	3
3	3
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	77
0	69
0	65
1	63
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	3
0	0
14	0
0	1
0	1
1	1
0	54
0	54
0	28
0	33
1	33
0	33
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
1	8
0	8
0	6
0	6
0	8
0	8
0	2
0	2
1	2
0	2
0	0
25	0
0	0
0	0
0	7
0	8
0	7
0	8
0	0
3	137
21	137
0	0
10	0
0	31
1	36
0	36
0	42
3	36
0	0
4	0
40	0
0	18
0	16
0	18
0	18
0	14
3	0
2	37
0	37
1	33
0	23
2	22
3	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
2	9
1	9
0	4
70	0
0	0
0	0
0	0
0	0
0	0
6	0
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	2
3	2
10	0
5	0
9	0
0	6
0	6
0	8
0	4
0	2
0	1
1	1
0	2
3	2
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	8
0	8
3	20
0	20
0	1
0	1
7	0
0	0
0	0
0	0
6	0
0	11
2	11
0	0
0	0
0	0
0	0
0	2
0	2
0	2
3	0
0	2
0	2
0	0
0	1
0	3
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	1
0	1
0	0
0	1
1	11
0	11
0	26
0	22
0	22
0	26
0	2
0	2
1	4
1	4
2	0
0	0
0	0
0	0
6	0
0	1
0	1
0	0
0	0
15	0
3	0
2	0
1	0
0	2
0	4
0	1
0	3
1	1
0	2
49	1
0	7
3	7
2	0
0	5
0	5
0	5
0	4
0	5
3	2
2	2
0	0
0	0
0	0
5	21
0	21
4	2
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	7
4	0
0	0
6	0
0	0
0	0
0	0
2	0
0	1
3	6
0	6
0	0
6	26
0	26
0	141
0	116
0	119
0	107
0	82
0	101
0	72
0	0
0	2
1	3
0	3
0	9
0	11
0	5
0	3
0	12
0	8
6	0
0	0
0	0
0	0
0	3
0	3
0	0
1	0
27	17
0	17
0	0
36	0
0	86
0	70
0	74
0	58
0	69
0	69
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
5	0
0	0
2	0
27	0
70	0
0	0
5	0
22	2
0	0
1	0
0	0
0	43
0	49
0	58
7	64
0	0
0	0
2	0
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
6	0
0	0
3	43
2	43
0	10
1	5
0	9
0	9
0	7
0	8
2	0
2	0
1	7
0	6
0	6
0	6
0	0
0	3
0	3
0	3
0	5
0	5
0	1
0	1
3	1
2	0
5	0
0	0
19	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
1	5
0	5
0	0
0	6
0	6
0	0
0	4
0	4
0	5
0	3
0	7
0	7
0	5
0	0
0	0
0	0
0	32
7	32
0	0
0	0
0	0
0	7
0	7
0	5
0	5
5	0
0	1
0	1
7	1
0	1
18	0
0	0
0	0
0	0
0	0
1	0
0	5
0	4
0	4
0	4
0	0
0	0
0	0
0	3
0	0
6	3
6	0
0	0
0	0
0	6
0	7
0	6
0	7
0	3
5	0
0	3
0	3
1	0
0	0
5	0
0	0
0	1
1	16
0	16
0	16
0	16
0	16
0	0
0	0
0	0
1	0
0	5
0	4
0	5
0	5
0	5
5	13
0	12
0	0
0	2
1	2
0	2
0	2
0	2
0	5
0	5
3	2
0	2
0	22
2	22
1	11
0	12
0	11
0	13
0	14
0	8
28	0
0	2
0	2
0	8
1	6
0	8
1	7
0	7
3	13
0	13
3	13
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
15	0
0	0
2	0
0	0
0	0
0	5
0	5
0	4
0	4
0	5
0	5
0	5
0	3
0	3
0	3
0	5
6	20
0	20
0	5
0	5
2	0
9	0
0	0
0	3
0	5
0	5
0	5
0	2
0	2
0	2
5	0
3	0
0	7
0	7
0	6
0	7
0	6
0	0
0	0
0	0
0	2
0	0
0	0
0	3
1	3
0	2
0	0
0	0
0	0
0	0
0	0
1	0
1	11
0	11
0	2
0	3
0	1
0	1
0	22
0	22
2	3
0	6
0	5
0	5
0	6
0	5
0	5
2	5
9	0
0	5
0	5
0	5
0	0
1	17
0	14
0	17
0	17
1	1
0	2
0	2
0	2
0	0
0	2
0	12
1	15
0	8
0	9
2	6
0	2
0	4
1	21
0	21
0	20
0	4
0	4
2	0
9	0
2	0
0	0
0	0
3	44
3	44
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	7
0	7
0	5
0	0
1	0
15	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
2	1
0	0
0	0
0	0
0	0
0	18
0	9
0	14
0	18
0	8
0	30
0	27
0	12
1	3
0	2
2	2
0	0
23	0
0	1
0	0
0	0
1	0
0	0
38	0
0	1
0	0
0	6
3	6
0	1
0	1
0	1
2	16
0	16
0	69
0	0
0	0
0	0
0	0
11	52
0	51
0	48
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	12
0	12
0	12
0	10
0	12
0	1
0	1
0	0
3	0
0	0
2	0
0	1
0	1
0	0
0	13
0	13
0	10
10	17
0	17
1	0
0	0
0	6
0	6
0	6
0	0
0	1
1	1
0	8
0	8
0	10
0	10
0	0
0	0
0	0
3	5
0	5
0	14
0	14
0	14
0	14
9	0
0	0
1	26
0	26
4	10
0	10
0	0
0	0
0	0
0	0
0	603
8	58
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	24
0	24
0	24
0	20
0	22
36	0
8	0
0	4
7	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	6
0	6
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	2
0	2
0	2
1	5
0	5
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	7
0	6
0	6
0	6
0	4
0	0
0	0
0	0
0	0
0	0
15	0
0	9
0	9
1	4
0	4
0	3
0	4
1	0
0	0
0	0
1	0
1	0
1	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	12
1	12
0	0
1	1
0	1
1	8
0	8
0	2
0	6
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	3
0	2
0	3
0	2
0	8
0	9
0	8
0	9
1	8
0	8
0	0
8	0
17	0
0	0
0	0
0	26
0	30
6	8
0	0
0	0
0	0
0	0
0	8
0	22
0	18
0	0
0	0
0	0
0	0
0	7
0	7
0	7
0	6
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
3	15
0	15
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	10
0	10
0	2
0	2
0	1
0	4
0	4
5	0
0	0
0	0
2	0
0	0
0	0
0	3
0	2
0	1
0	1
9	0
0	9
0	9
1	7
0	6
0	10
0	9
0	8
0	9
0	9
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	1
0	0
0	0
0	0
2	7
0	7
0	9
0	9
0	9
7	10
0	10
0	0
0	1
0	0
0	0
51	11
3	7
0	7
0	7
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	2
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	23
0	23
0	20
16	0
11	0
0	0
0	0
0	7
0	7
0	7
2	7
0	0
0	12
0	12
0	9
0	5
0	7
0	0
0	0
4	11
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	0
0	0
0	0
1	0
2	8
0	8
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	2
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
1	14
0	16
0	12
0	13
4	6
0	6
0	0
0	0
40	41
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
5	23
1	25
0	23
0	25
0	16
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
1	0
1	2
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
3	0
0	0
1	0
2	17
0	17
1	8
0	25
0	22
0	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	0
0	10
0	10
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
0	0
1	3
0	3
0	4
0	0
0	0
0	0
0	0
0	6
0	6
0	6
0	6
0	6
0	6
2	1
0	1
0	1
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
1	4
0	4
0	0
0	15
0	15
2	0
67	0
0	0
0	0
4	0
11	0
1	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
1	12
0	12
0	12
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	2
0	2
0	2
0	1
0	2
0	1
0	0
2	0
0	5
1	5
0	0
0	0
0	0
1	1
2	1
0	0
0	14
0	14
0	4
0	4
0	4
0	4
0	4
0	1
0	4
0	4
9	0
3	2
0	2
0	2
0	0
2	11
0	11
0	1
0	1
0	1
0	1
2	2
0	2
0	2
0	2
0	2
0	2
0	1
0	1
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	16
0	16
0	16
3	15
0	16
0	5
0	29
0	339
0	336
0	604
0	15
0	232
0	224
0	0
0	0
1	3
0	3
1	0
0	3
0	3
0	0
0	0
51	0
1	1
0	2
0	1
0	1
0	1
0	1
0	1
5	20
0	20
0	20
0	19
3	0
0	0
1	4
0	4
0	0
0	0
0	0
0	0
0	0
12	0
6	37
8	37
1	37
0	0
0	0
0	0
0	0
1	1
0	1
0	1
0	1
0	1
8	1
1	1
0	0
0	0
0	0
8	0
4	0
16	0
0	1
0	1
0	0
6	0
0	6
0	6
0	6
0	6
1	6
0	3
0	6
0	0
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	95
0	94
1	133
0	120
0	0
0	0
0	9
0	9
0	9
0	9
22	0
0	0
0	2
0	2
0	1
0	0
